country,value
Algeria,4
Angola,2
Argentina,12
Australia,103
Austria,41
Belgium,8
Brazil,163
Canada,130
Chile,37
China,983
Colombia,17
Cyprus,15
Czech Republic,27
Denmark,40
Egypt,15
Eswatini,4
Finland,12
France,306
Georgia,4
Germany,525
Greece,8
Guernsey,2
Hong Kong,310
Hungary,1
Iceland,2
India,394
Indonesia,65
Ireland,35
Israel,49
Italy,151
Japan,125
Kazakhstan,13
Kuwait,4
Lebanon,10
Liechtenstein,3
Macao,1
Malaysia,56
Mexico,134
Monaco,5
Morocco,3
Nepal,1
Netherlands,30
New Zealand,12
Nigeria,20
Norway,32
Oman,4
Peru,8
Philippines,50
Poland,11
Portugal,5
Qatar,2
Romania,1
Russia,372
Singapore,55
Slovakia,1
South Africa,19
South Korea,108
Spain,125
St. Kitts and Nevis,3
Sweden,111
Switzerland,108
Taiwan,68
Tanzania,1
Thailand,84
Turkey,50
Ukraine,11
United Arab Emirates,20
United Kingdom,179
United States,2859
Venezuela,5
Vietnam,9
Zimbabwe,1
