date,name,category,value
2020-01-01,Philippines,Philippines,15
2020-01-01,Qatar,Qatar,1
2020-01-01,Russia,Russia,100
2020-01-01,Singapore,Singapore,26
2020-01-01,South Korea,South Korea,31
2020-01-01,Taiwan,Taiwan,40
2020-01-01,Thailand,Thailand,30
2020-01-01,Turkey,Turkey,24
2020-01-01,United Arab Emirates,United Arab Emirates,4
2020-01-01,Vietnam,Vietnam,6
2021-01-01,China,China,626
2021-01-01,Hong Kong,Hong Kong,71
2021-01-01,India,India,140
2021-01-01,Indonesia,Indonesia,21
2021-01-01,Israel,Israel,25
2021-01-01,Japan,Japan,49
2021-01-01,Kazakhstan,Kazakhstan,5
2021-01-01,Lebanon,Lebanon,6
2021-01-01,Macao,Macao,1
2021-01-01,Malaysia,Malaysia,17
2021-01-01,Nepal,Nepal,1
2021-01-01,Oman,Oman,1
2021-01-01,Philippines,Philippines,17
2021-01-01,Qatar,Qatar,2
2021-01-01,Russia,Russia,118
2021-01-01,Singapore,Singapore,27
2021-01-01,South Korea,South Korea,43
2021-01-01,Taiwan,Taiwan,47
2021-01-01,Thailand,Thailand,31
2021-01-01,Turkey,Turkey,27
2021-01-01,United Arab Emirates,United Arab Emirates,4
2021-01-01,Vietnam,Vietnam,6
2022-01-01,China,China,539
2022-01-01,Hong Kong,Hong Kong,67
2022-01-01,India,India,166
2022-01-01,Indonesia,Indonesia,30
2022-01-01,Israel,Israel,30
2022-01-01,Japan,Japan,40
2022-01-01,Kazakhstan,Kazakhstan,5
2022-01-01,Lebanon,Lebanon,6
2022-01-01,Macao,Macao,1
2022-01-01,Malaysia,Malaysia,17
2022-01-01,Nepal,Nepal,1
2022-01-01,Oman,Oman,1
2022-01-01,Philippines,Philippines,17
2022-01-01,Qatar,Qatar,2
2022-01-01,Russia,Russia,81
2022-01-01,Singapore,Singapore,26
2022-01-01,South Korea,South Korea,41
2022-01-01,Taiwan,Taiwan,51
2022-01-01,Thailand,Thailand,28
2022-01-01,Turkey,Turkey,24
2022-01-01,United Arab Emirates,United Arab Emirates,4
2022-01-01,Vietnam,Vietnam,7
