date,name,category,value
2020-01-01,Philippines,Philippines,27
2020-01-01,Qatar,Qatar,1
2020-01-01,Russia,Russia,428
2020-01-01,Singapore,Singapore,97
2020-01-01,South Korea,South Korea,82
2020-01-01,Taiwan,Taiwan,70
2020-01-01,Thailand,Thailand,82
2020-01-01,Turkey,Turkey,32
2020-01-01,United Arab Emirates,United Arab Emirates,9
2020-01-01,Vietnam,Vietnam,12
2021-01-01,China,China,2272
2021-01-01,Hong Kong,Hong Kong,417
2021-01-01,India,India,536
2021-01-01,Indonesia,Indonesia,77
2021-01-01,Israel,Israel,64
2021-01-01,Japan,Japan,208
2021-01-01,Kazakhstan,Kazakhstan,14
2021-01-01,Lebanon,Lebanon,9
2021-01-01,Macao,Macao,3
2021-01-01,Malaysia,Malaysia,60
2021-01-01,Nepal,Nepal,1
2021-01-01,Oman,Oman,2
2021-01-01,Philippines,Philippines,41
2021-01-01,Qatar,Qatar,2
2021-01-01,Russia,Russia,540
2021-01-01,Singapore,Singapore,147
2021-01-01,South Korea,South Korea,108
2021-01-01,Taiwan,Taiwan,97
2021-01-01,Thailand,Thailand,95
2021-01-01,Turkey,Turkey,45
2021-01-01,United Arab Emirates,United Arab Emirates,9
2021-01-01,Vietnam,Vietnam,14
2022-01-01,China,China,1742
2022-01-01,Hong Kong,Hong Kong,357
2022-01-01,India,India,680
2022-01-01,Indonesia,Indonesia,104
2022-01-01,Israel,Israel,102
2022-01-01,Japan,Japan,141
2022-01-01,Kazakhstan,Kazakhstan,15
2022-01-01,Lebanon,Lebanon,11
2022-01-01,Macao,Macao,1
2022-01-01,Malaysia,Malaysia,55
2022-01-01,Nepal,Nepal,1
2022-01-01,Oman,Oman,2
2022-01-01,Philippines,Philippines,37
2022-01-01,Qatar,Qatar,3
2022-01-01,Russia,Russia,269
2022-01-01,Singapore,Singapore,96
2022-01-01,South Korea,South Korea,93
2022-01-01,Taiwan,Taiwan,129
2022-01-01,Thailand,Thailand,85
2022-01-01,Turkey,Turkey,31
2022-01-01,United Arab Emirates,United Arab Emirates,21
2022-01-01,Vietnam,Vietnam,18
