date,name,category,value
2018-01-01,Switzerland,Switzerland,108
2018-01-01,Ukraine,Ukraine,11
2018-01-01,United Kingdom,United Kingdom,179
2020-01-01,Austria,Austria,48
2020-01-01,Belgium,Belgium,9
2020-01-01,Cyprus,Cyprus,15
2020-01-01,Czechia,Czechia,35
2020-01-01,Denmark,Denmark,43
2020-01-01,Finland,Finland,11
2020-01-01,France,France,402
2020-01-01,Georgia,Georgia,4
2020-01-01,Germany,Germany,489
2020-01-01,Greece,Greece,4
2020-01-01,Guernsey,Guernsey,2
2020-01-01,Hungary,Hungary,2
2020-01-01,Iceland,Iceland,2
2020-01-01,Ireland,Ireland,36
2020-01-01,Italy,Italy,140
2020-01-01,Liechtenstein,Liechtenstein,3
2020-01-01,Monaco,Monaco,4
2020-01-01,Netherlands,Netherlands,33
2020-01-01,Norway,Norway,25
2020-01-01,Poland,Poland,11
2020-01-01,Portugal,Portugal,4
2020-01-01,Romania,Romania,2
2020-01-01,Slovakia,Slovakia,2
2020-01-01,Spain,Spain,107
2020-01-01,Sweden,Sweden,129
2020-01-01,Switzerland,Switzerland,99
2020-01-01,Ukraine,Ukraine,9
2020-01-01,United Kingdom,United Kingdom,173
2021-01-01,Austria,Austria,57
2021-01-01,Belgium,Belgium,12
2021-01-01,Cyprus,Cyprus,17
2021-01-01,Czechia,Czechia,38
2021-01-01,Denmark,Denmark,57
2021-01-01,Finland,Finland,14
2021-01-01,France,France,494
2021-01-01,Georgia,Georgia,7
2021-01-01,Germany,Germany,568
2021-01-01,Greece,Greece,12
2021-01-01,Guernsey,Guernsey,2
2021-01-01,Hungary,Hungary,2
2021-01-01,Iceland,Iceland,3
2021-01-01,Ireland,Ireland,39
2021-01-01,Italy,Italy,184
2021-01-01,Liechtenstein,Liechtenstein,5
2021-01-01,Monaco,Monaco,4
2021-01-01,Netherlands,Netherlands,38
2021-01-01,Norway,Norway,33
2021-01-01,Poland,Poland,18
2021-01-01,Portugal,Portugal,6
2021-01-01,Romania,Romania,7
2021-01-01,Slovakia,Slovakia,2
2021-01-01,Spain,Spain,125
2021-01-01,Sweden,Sweden,164
2021-01-01,Switzerland,Switzerland,128
2021-01-01,Ukraine,Ukraine,15
2021-01-01,United Kingdom,United Kingdom,188
2022-01-01,Austria,Austria,57
2022-01-01,Belgium,Belgium,11
2022-01-01,Bulgaria,Bulgaria,4
2022-01-01,Cyprus,Cyprus,19
2022-01-01,Czechia,Czechia,44
2022-01-01,Denmark,Denmark,55
2022-01-01,Estonia,Estonia,1
2022-01-01,Finland,Finland,10
2022-01-01,France,France,531
2022-01-01,Georgia,Georgia,5
2022-01-01,Germany,Germany,551
2022-01-01,Greece,Greece,13
2022-01-01,Guernsey,Guernsey,2
2022-01-01,Hungary,Hungary,2
2022-01-01,Iceland,Iceland,3
2022-01-01,Ireland,Ireland,50
2022-01-01,Italy,Italy,172
2022-01-01,Liechtenstein,Liechtenstein,2
2022-01-01,Monaco,Monaco,14
2022-01-01,Netherlands,Netherlands,33
2022-01-01,Norway,Norway,36
2022-01-01,Poland,Poland,18
2022-01-01,Portugal,Portugal,4
2022-01-01,Romania,Romania,7
2022-01-01,Slovakia,Slovakia,2
2022-01-01,Spain,Spain,105
2022-01-01,Sweden,Sweden,146
2022-01-01,Switzerland,Switzerland,162
2022-01-01,Ukraine,Ukraine,10
2022-01-01,United Kingdom,United Kingdom,181
